District,State,Growth,Sex_Ratio,Literacy
Kendujhar,Orissa,15,988,68.24
Banda,Uttar Pradesh,17,863,66.67
Banswara,Rajasthan,27,980,56.33
Ramabai Nagar,Uttar Pradesh,15,865,75.78
Hassan,Karnataka,3,1010,76.07
Hanumangarh,Rajasthan,17,906,67.13
Etah,Uttar Pradesh,14,873,70.81
Chhattarpur,Madhya Pradesh,20,883,63.74
Jamui,Bihar,26,922,59.79
Surendranagar,Gujarat,16,930,72.13
Shimoga,Karnataka,7,998,80.45
Thoothukkudi,Tamil Nadu,11,1023,86.16
Hisar,Haryana,13,872,72.89
Cachar,Assam,20,959,79.34
Hazaribagh,Jharkhand,21,947,69.75
Namakkal,Tamil Nadu,16,986,74.63
Shivpuri,Madhya Pradesh,23,877,62.55
West Tripura,Tripura,13,962,88.69
Sant Kabir Nagar,Uttar Pradesh,21,972,66.72
East Delhi,Delhi,17,884,89.31
Buxar,Bihar,22,922,70.14
Valsad,Gujarat,21,922,78.55
Bidar,Karnataka,13,956,70.51
Bhind,Madhya Pradesh,19,837,75.26
Balaghat,Madhya Pradesh,14,1021,77.09
Puri,Orissa,13,963,84.67
Dehradun,Uttarakhand,32,902,84.25
Barpeta,Assam,21,953,63.81
Kishanganj,Bihar,30,950,55.46
Jalaun,Uttar Pradesh,16,865,73.75
Dakshin Dinajpur,West Bengal,12,956,72.82
Khagaria,Bihar,30,886,57.92
Chitradurga,Karnataka,9,974,73.71
Osmanabad,Maharashtra,12,924,78.44
Kannauj,Uttar Pradesh,19,879,72.7
Sangrur,Punjab,12,885,67.99
Balangir,Orissa,23,987,64.72
Udham Singh Nagar,Uttarakhand,33,920,73.1
Nandurbar,Maharashtra,26,978,64.38
Gautam Buddha Nagar,Uttar Pradesh,37,851,80.12
Bhiwani,Haryana,15,886,75.21
Dausa,Rajasthan,24,905,68.16
Kaimur,Bihar,26,920,69.34
Janjgir Champa,Chhattisgarh,23,986,73.07
Pudukkottai,Tamil Nadu,11,1015,77.19
Nagapattinam,Tamil Nadu,9,1025,83.59
Ratnagiri,Maharashtra,-5,1122,82.18
Kaushambi,Uttar Pradesh,24,908,61.28
Haveri,Karnataka,11,950,77.4
Hoshiarpur,Punjab,7,961,84.59
Etawah,Uttar Pradesh,18,870,78.41
Sant Ravidas Nagar,Uttar Pradesh,17,955,68.97
Kalahandi,Orissa,18,1003,59.22
Betul,Madhya Pradesh,13,971,68.9
Mahamaya Nagar,Uttar Pradesh,17,871,71.59
